source	time	heading	story	url
Tribal Football	1549899600	Cairney reveals team bonding experience helping Fulham	Fulham captain Tom Cairney has suggested the team going on a bonding exercise together.The London club are desperate to try and avoid relegation, despite ...	https://news.google.com/articles/CAIiEIPK5j8M4RJfzHYe8Nykr5UqGQgEKhAIACoHCAow2Z3dCjCbwdABMP7dngE?hl=en-IN&gl=IN&ceid=IN%3Aen
Tribal Football	1549899540	No change at Chelsea training after Man City mauling	Chelsea went through training as normal, despite their heavy Premier League defeat to Manchester City.The Blues were humbled by their opponents away from ...	https://news.google.com/articles/CAIiELRJgrvWBptxijcrd1wHkzcqGQgEKhAIACoHCAow2Z3dCjCbwdABMP7dngE?hl=en-IN&gl=IN&ceid=IN%3Aen
Tribal Football	1549899480	Tottenham captain Lloris rallies supporters for BVB clash	Hugo Lloris is hoping that Tottenham can raise their game for the UEFA Champions League.While Spurs have continued their impressive winning form in the ...	https://news.google.com/articles/CAIiEJSxf--l5geQSxg4M-HKKlYqGQgEKhAIACoHCAow2Z3dCjCbwdABMP7dngE?hl=en-IN&gl=IN&ceid=IN%3Aen
Tribal Football	1549899240	Almiron had known Newcastle interest since November	Miguel Almiron has admitted that he knew about Newcastle United's interest for a couple months.The former Atlanta United player has been on the radar of top.	https://news.google.com/articles/CAIiEKgqyanomKLLdMyCbQvLO68qGQgEKhAIACoHCAow2Z3dCjCbwdABMMjeigI?hl=en-IN&gl=IN&ceid=IN%3Aen
Tribal Football	1549899900	Derby boss Lampard favourite to succeed Sarri at Chelsea	Former Chelsea midfielder Frank Lampard is the favorite to become the club's next manager.Lampard is being made the favorite by bookies, who expect ...	https://news.google.com/articles/CAIiEGG402vAnkBGjXbC3IxBwEsqGQgEKhAIACoHCAow2Z3dCjCbwdABMP7dngE?hl=en-IN&gl=IN&ceid=IN%3Aen
Tribal Football	1549885980	Pellegrini to use West Ham trip for injured stars	Manuel Pellegrini will use West Ham's trip to Malaga to reintegrate his injured players.The Hammers have an extended break after going out of the FA Cup at.	https://news.google.com/articles/CAIiEFdcH8jg6TecFAQjYKyfdSEqGQgEKhAIACoHCAow2Z3dCjCbwdABMMjeigI?hl=en-IN&gl=IN&ceid=IN%3Aen
The Scotsman	1549755326	Euan McColm: Labour-exit proves just how tribal we’ve become	Shortly after the 2014 Scottish independence referendum, I sat in a restaurant in London with an English pal talking about – of course – the independence ...	https://news.google.com/articles/CBMia2h0dHBzOi8vd3d3LnNjb3RzbWFuLmNvbS9uZXdzL29waW5pb24vZXVhbi1tY2NvbG0tbGFib3VyLWV4aXQtcHJvdmVzLWp1c3QtaG93LXRyaWJhbC13ZS12ZS1iZWNvbWUtMS00ODcwODY50gG4AWh0dHBzOi8vd3d3LXNjb3RzbWFuLWNvbS5jZG4uYW1wcHJvamVjdC5vcmcvdi9zL3d3dy5zY290c21hbi5jb20vbmV3cy9vcGluaW9uL2V1YW4tbWNjb2xtLWxhYm91ci1leGl0LXByb3Zlcy1qdXN0LWhvdy10cmliYWwtd2UtdmUtYmVjb21lLTEtNDg3MDg2OS9hbXA_YW1wX2pzX3Y9MC4xI3dlYnZpZXc9MSZjYXA9c3dpcGU?hl=en-IN&gl=IN&ceid=IN%3Aen
Tribal Football	1549896060	Ex-Man Utd legend Scholes appointed Oldham boss	Paul Scholes has been named manager of League Two club Oldham Athletic, reports BBC Sport.The former Manchester United and England midfielder has ...	https://news.google.com/articles/CAIiEAZdR4OhdfCnRHF4foINoLcqGQgEKhAIACoHCAow2Z3dCjCbwdABMKjfigI?hl=en-IN&gl=IN&ceid=IN%3Aen
Tribal Football	1549898940	Watford defender Mariappa happy Doucoure linked with PSG	Adrian Mariappa says PSG's interest in his Watford teammate Abdoulaye Doucoure is a positive thing.PSG have earmarked Doucoure as a prime target for the ...	https://news.google.com/articles/CAIiEB21erZ1YvbY3sOKOrgNHTYqGQgEKhAIACoHCAow2Z3dCjCbwdABMIjfigI?hl=en-IN&gl=IN&ceid=IN%3Aen
Tribal Football	1549886280	Crystal Palace optimistic about Zaha appeal	Crystal Palace are optimistic Wilfried Zaha's ban will be overturned on appeal.The Ivorian received a two game ban after being sent off against Southampton.	https://news.google.com/articles/CAIiELzF-zu6ZfD4DM78F_9lE_YqGQgEKhAIACoHCAow2Z3dCjCbwdABMP7dngE?hl=en-IN&gl=IN&ceid=IN%3Aen
Tribal Football	1549899360	Man Utd defender Jones: I don't care about criticism	Manchester United defender Phil Jones is dismissing the words of critics.The English centre-back has recently renewed his contract at the club for another four.	https://news.google.com/articles/CAIiEGS_9xWkaFORezwRPikjr7IqGQgEKhAIACoHCAow2Z3dCjCbwdABMP7dngE?hl=en-IN&gl=IN&ceid=IN%3Aen
KFYR-TV	1549487473	Tribal tax proposals set framework for long-standing deals	Yesterday, we reported on MHA nation, the executive and legislative branches all coming together to reach, in principle, a new deal on how they share oil tax ...	https://news.google.com/articles/CBMibWh0dHBzOi8vd3d3LmtmeXJ0di5jb20vY29udGVudC9uZXdzL1RyaWJhbC10YXgtcHJvcG9zYWxzLXNldC1mcmFtZXdvcmstZm9yLWxvbmctc3RhbmRpbmctZGVhbHMtNTA1NDYzMzYxLmh0bWzSAQA?hl=en-IN&gl=IN&ceid=IN%3Aen
Tribal Football	1549886280	Southampton boss Hasenhuttl reveals plans for Tenerife trip	Southampton boss Ralph Hasenhuttl will work on his defence when the club take a trip to Tenerife this week.Saints will enjoy a warm-weather training camp ...	https://news.google.com/articles/CAIiENWsdgT-jSj33UPSJF5Ga_EqGQgEKhAIACoHCAow2Z3dCjCbwdABMP7dngE?hl=en-IN&gl=IN&ceid=IN%3Aen
Tribal Football	1549899420	Leno insists Arsenal ready to supplant Man Utd & Chelsea	Arsenal goalkeeper Bernd Leno says the team are ready to pounce should their top four rivals slip up.The Gunners are involved in a tight race for fourth positio.	https://news.google.com/articles/CAIiEH9Aey398nWn6Sj0lKabKL8qGQgEKhAIACoHCAow2Z3dCjCbwdABMKjfigI?hl=en-IN&gl=IN&ceid=IN%3Aen
NDSU The Spectrum	1549895605	Tribes Get Recognition	We finally are benefiting our Native friends a little bit.	https://news.google.com/articles/CBMiIGh0dHA6Ly9uZHN1c3BlY3RydW0uY29tL25hdGl2ZXMv0gEA?hl=en-IN&gl=IN&ceid=IN%3Aen
