source	time	heading	story	url
ABS-CBN News	1549792860	Erich Gonzales directs Marco Maurer's new music video	Thai rapper Marco Maurer has officially dropped the music video of “Won't Let You Go” featuring actress Erich Gonzales.	https://news.google.com/articles/CBMiZGh0dHBzOi8vbmV3cy5hYnMtY2JuLmNvbS9lbnRlcnRhaW5tZW50LzAyLzEwLzE5L2VyaWNoLWdvbnphbGVzLWRpcmVjdHMtbWFyY28tbWF1cmVycy1uZXctbXVzaWMtdmlkZW_SAQA?hl=en-IN&gl=IN&ceid=IN%3Aen
The Daily Beast	1549837260	The Grammy-nominated Women Calling Time's Up on Sexism in Music	Three nominees tell us what they think of the Grammys' new Women in the Mix initiative, which aims to increase the number of female engineers and producers.	https://news.google.com/articles/CAIiEG7ynNhwdXnoiNLFLqGiYTEqFggEKg0IACoGCAow7s8BMNBIMKv-lwI?hl=en-IN&gl=IN&ceid=IN%3Aen
WRAL.com	1549858924	UNC Pembroke music professor nominated for Grammy award	UNC Pembroke music professor Dr. Joanna Ross Hersey was nominated for a Grammy award.	https://news.google.com/articles/CBMiVmh0dHBzOi8vd3d3LndyYWwuY29tL3VuYy1wZW1icm9rZS1tdXNpYy1wcm9mZXNzb3Itbm9taW5hdGVkLWZvci1ncmFtbXktYXdhcmQvMTgxODQwNDQv0gGnAWh0dHBzOi8vd3d3LXdyYWwtY29tLmNkbi5hbXBwcm9qZWN0Lm9yZy92L3Mvd3d3LndyYWwuY29tL3VuYy1wZW1icm9rZS1tdXNpYy1wcm9mZXNzb3Itbm9taW5hdGVkLWZvci1ncmFtbXktYXdhcmQvMTgxODQwNDQvP3ZlcnNpb249YW1wJmFtcF9qc192PTAuMSN3ZWJ2aWV3PTEmY2FwPXN3aXBl?hl=en-IN&gl=IN&ceid=IN%3Aen
9&10 News	1549864717	Recovery Music Event Makes Its Debut in Petoskey	A new program kicked off their first event Sunday night. The goal is to help people on the path to recovery have a fun night while being supported. Recovery ...	https://news.google.com/articles/CBMiV2h0dHBzOi8vd3d3LjlhbmQxMG5ld3MuY29tLzIwMTkvMDIvMTEvcmVjb3ZlcnktbXVzaWMtZXZlbnQtbWFrZXMtaXRzLWRlYnV0LWluLXBldG9za2V5L9IBAA?hl=en-IN&gl=IN&ceid=IN%3Aen
Press Herald	1549851060	Music's Quill shows its affinity for Elizabethan compositions with Dowland's 'First Book of Songs'	Music's Quill, the flexible early music ensemble led by lutenist Timothy Burris, has shown itself to be comfortable, and persuasive, in a broad repertory that runs ...	https://news.google.com/articles/CBMihgFodHRwczovL3d3dy5wcmVzc2hlcmFsZC5jb20vMjAxOS8wMi8xMC9tdXNpY3MtcXVpbGwtc2hvd3MtaXRzLWFmZmluaXR5LWZvci1lbGl6YWJldGhhbi1jb21wb3NpdGlvbnMtd2l0aC1kb3dsYW5kcy1maXJzdC1ib29rLW9mLXNvbmdzL9IBAA?hl=en-IN&gl=IN&ceid=IN%3Aen
Economic Times	1549865940	ET Women's Forum: Gig By Transgender Music Band, Talking Start-Ups and Beyond #MeToo - A Power-Packed Performance	India's first transgender music band, 6 Pack Band, kick-started the event with an enthralling performance. A Power-Packed Performance.	https://news.google.com/articles/CBMitQFodHRwczovL2Vjb25vbWljdGltZXMuaW5kaWF0aW1lcy5jb20vbWFnYXppbmVzL3BhbmFjaGUvZXQtd29tZW5zLWZvcnVtLWdpZy1ieS10cmFuc2dlbmRlci1tdXNpYy1iYW5kLXRhbGtpbmctc3RhcnQtdXBzLWJleW9uZC1tZXRvby9hLXBvd2VyLXBhY2tlZC1wZXJmb3JtYW5jZS9zbGlkZXNob3cvNjc5Mzg5NDIuY21z0gEA?hl=en-IN&gl=IN&ceid=IN%3Aen
The Boot	1549890000	How Many of These Country Music Ex-Couples Do You Remember?	Country stars' relationships are a mixed bag of life-long love and breakup heartaches. Just like the music's themes, the lives of country artists include a variety of ...	https://news.google.com/articles/CBMiPWh0dHA6Ly90aGVib290LmNvbS9icm9rZW4tdXAtY291bnRyeS1tdXNpYy1jZWxlYnJpdHktY291cGxlcy_SAQA?hl=en-IN&gl=IN&ceid=IN%3Aen
Livemint	1549262965	Face the music	The Indian Music Experience in Bengaluru, a decade in the making, is finally open to the public. Lounge takes a tourThe intention was to layer the information in ...	https://news.google.com/articles/CAIiEAmXhFAEsuC8lVMAysfSKi0qFggEKg4IACoGCAowxLQ_MNevCDCy1AY?hl=en-IN&gl=IN&ceid=IN%3Aen
CBC.ca	1549796400	Guitar club for kids hopes to ignite lifelong passion for music	Andrew Titus, who has played guitar for 37 years, launches a club to spread his passion for music to young people.	https://news.google.com/articles/CBMiTmh0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL2NhbmFkYS9uZXctYnJ1bnN3aWNrL2d1aXRhcnMta2lkcy1jbHViLW11c2ljLTEuNTAxMjQ0NdIBY2h0dHBzOi8vd3d3LWNiYy1jYS5jZG4uYW1wcHJvamVjdC5vcmcvdi9zL3d3dy5jYmMuY2EvYW1wLzEuNTAxMjQ0NT9hbXBfanNfdj0wLjEjd2Vidmlldz0xJmNhcD1zd2lwZQ?hl=en-IN&gl=IN&ceid=IN%3Aen
The Guardian	1549804800	Behemoth review – jolts of brutality from modern metal's kings of darkness	Through fire and smoke, Adam 'Nergal' Darski and his roaring feral hell-bangers churn up elation and menace to prove the devil still has the best tunes.	https://news.google.com/articles/CAIiEC0UbkgshXx8JPnEMuScHYUqFggEKg4IACoGCAowl6p7MN-zCTCOvRU?hl=en-IN&gl=IN&ceid=IN%3Aen
Scroll.in	1549864800	Beyond Divine and Naezy: Meet the real Gully Boys who helped shape Mumbai’s hip-hop scene	Divine and Naezy might be the flag-bearers of Mumbai's hip-hop scene, but it has been built on the backs of these 10 musicians and others.	https://news.google.com/articles/CBMieWh0dHBzOi8vc2Nyb2xsLmluL21hZ2F6aW5lLzkxMjM3OS9iZXlvbmQtZGl2aW5lLWFuZC1uYWV6eS1tZWV0LXRoZS1yZWFsLWd1bGx5LWJveXMtd2hvLWhlbHBlZC1zaGFwZS1tdW1iYWlzLWhpcC1ob3Atc2NlbmXSAcMBaHR0cHM6Ly9hbXAtc2Nyb2xsLWluLmNkbi5hbXBwcm9qZWN0Lm9yZy92L3MvYW1wLnNjcm9sbC5pbi9tYWdhemluZS85MTIzNzkvYmV5b25kLWRpdmluZS1hbmQtbmFlenktbWVldC10aGUtcmVhbC1ndWxseS1ib3lzLXdoby1oZWxwZWQtc2hhcGUtbXVtYmFpcy1oaXAtaG9wLXNjZW5lP2FtcF9qc192PTAuMSN3ZWJ2aWV3PTEmY2FwPXN3aXBl?hl=en-IN&gl=IN&ceid=IN%3Aen
