source	time	heading	story	url
The Daily Star	1549821600	Unicef, Bangladesh Scouts to enhance youth empowerment	Unicef Bangladesh has signed a programme cooperation agreement (PCA) with Bangladesh Scouts to empower and mobilise 1.68 million members of ...	https://news.google.com/articles/CBMiYWh0dHBzOi8vd3d3LnRoZWRhaWx5c3Rhci5uZXQvY2l0eS9uZXdzL3VuaWNlZi1iYW5nbGFkZXNoLXNjb3V0cy1lbmhhbmNlLXlvdXRoLWVtcG93ZXJtZW50LTE3MDAzMjnSAbIBaHR0cHM6Ly93d3ctdGhlZGFpbHlzdGFyLW5ldC5jZG4uYW1wcHJvamVjdC5vcmcvdi9zL3d3dy50aGVkYWlseXN0YXIubmV0L2NpdHkvbmV3cy91bmljZWYtYmFuZ2xhZGVzaC1zY291dHMtZW5oYW5jZS15b3V0aC1lbXBvd2VybWVudC0xNzAwMzI5P2FtcCZhbXBfanNfdj0wLjEjd2Vidmlldz0xJmNhcD1zd2lwZQ?hl=en-IN&gl=IN&ceid=IN%3Aen
The Cheat Sheet	1549812896	Is Jessa Seewald Planning on Having More Children Than Her Famous Mom, Michelle Duggar?	Michelle Duggar became famous for having 19 children -- so will her daughter, Jessa Seewald, follow the same path? Here's what she's said.	https://news.google.com/articles/CAIiEJ3rwUo92EhNyH9TDleyQqIqGAgEKg8IACoHCAowu9qkCjCd6Xcw6YzrAQ?hl=en-IN&gl=IN&ceid=IN%3Aen
The Star, Kenya	1549899221	First Lady Margaret invites African colleagues for Beyond Zero Marathon	First Lady Margaret Kenyatta on Wednesday invited her colleagues from African countries to participate in the fourth edition of the Beyond Zero Marathon in ...	https://news.google.com/articles/CBMicmh0dHBzOi8vd3d3LnRoZS1zdGFyLmNvLmtlL25ld3MvMjAxOS8wMi8xMS9maXJzdC1sYWR5LW1hcmdhcmV0LWludml0ZXMtYWZyaWNhbi1jb2xsZWFndWVzLWZvci1iZXlvbmQtemVyb19jMTg5MzA4M9IBAA?hl=en-IN&gl=IN&ceid=IN%3Aen
NewsDay	1549856303	Women push for quota system	CHAIRPERSON of the Women and Gender Parliamentary Portfolio Committee Chido Madiwa has opened up on how she grew up in a polygamous family of the ...	https://news.google.com/articles/CBMiPmh0dHBzOi8vd3d3Lm5ld3NkYXkuY28uencvMjAxOS8wMi93b21lbi1wdXNoLWZvci1xdW90YS1zeXN0ZW0v0gEA?hl=en-IN&gl=IN&ceid=IN%3Aen
Big Issue	1549876975	Samantha Morton: There's a misconception kids in care don't know love	Actress Samantha Morton has insisted the perception that kids in care always grow up without love is nonsense. The Oscar-nominated In America star, who was ...	https://news.google.com/articles/CBMiZGh0dHBzOi8vd3d3LmJpZ2lzc3VlLmNvbS9jdWx0dXJlL3NhbWFudGhhLW1vcnRvbi10aGVyZXMtYS1taXNjb25jZXB0aW9uLWtpZHMtaW4tY2FyZS1kb250LWtub3ctbG92ZS_SAQA?hl=en-IN&gl=IN&ceid=IN%3Aen
Daily Mail	1549750320	Married to a joyless fanatic	Jeremy Corbyn met Claudia Bracchitta at a protest meeting against her homeland's military dictatorship, addressed by Ken Livingstone, Britain's top investigative ...	https://news.google.com/articles/CAIiEF0FqTk5B4dChnWPfOdJZEoqGQgEKhAIACoHCAowzuOICzCZ4ocDMKiaowY?hl=en-IN&gl=IN&ceid=IN%3Aen
The New York Times	1549627875	Married With Children: New Gay Options, Explored Onstage	Two new theater productions in London give *fresh* perspectives on marriage and parenthood, by looking at them from a gay point of view.	https://news.google.com/articles/CAIiELDGlOj_w8XNGmBTXFiC7EIqFwgEKg8IACoHCAowjuuKAzCWrzwwhoEY?hl=en-IN&gl=IN&ceid=IN%3Aen
LGBTQ Nation	1549882980	Tennessee GOP is trying to ban marriage equality again to get it back in front of the Supreme Court	With Justice Kennedy replaced by Brett Kavanaugh on the bench, anti-LGBTQ activists hope they can overturn marriage equality.	https://news.google.com/articles/CBMibGh0dHBzOi8vd3d3LmxnYnRxbmF0aW9uLmNvbS8yMDE5LzAyL3Rlbm5lc3NlZS1nb3AtdHJ5aW5nLWJhbi1tYXJyaWFnZS1lcXVhbGl0eS1nZXQtYmFjay1mcm9udC1zdXByZW1lLWNvdXJ0L9IBvAFodHRwczovL3d3dy1sZ2J0cW5hdGlvbi1jb20uY2RuLmFtcHByb2plY3Qub3JnL3Yvcy93d3cubGdidHFuYXRpb24uY29tLzIwMTkvMDIvdGVubmVzc2VlLWdvcC10cnlpbmctYmFuLW1hcnJpYWdlLWVxdWFsaXR5LWdldC1iYWNrLWZyb250LXN1cHJlbWUtY291cnQvYW1wLz9hbXBfanNfdj0wLjEjd2Vidmlldz0xJmNhcD1zd2lwZQ?hl=en-IN&gl=IN&ceid=IN%3Aen
The Arunachal Times	1549825740	RGU students conduct fieldwork in Pakke-Kessang village	RILLOH, Feb 10: A team of 27 MA second semester students from Rajiv Gandhi University's (RGU) anthropology department conducted an 18-day fieldwork ...	https://news.google.com/articles/CBMiZ2h0dHBzOi8vYXJ1bmFjaGFsdGltZXMuaW4vaW5kZXgucGhwLzIwMTkvMDIvMTEvcmd1LXN0dWRlbnRzLWNvbmR1Y3QtZmllbGR3b3JrLWluLXBha2tlLWtlc3NhbmctdmlsbGFnZS_SAQA?hl=en-IN&gl=IN&ceid=IN%3Aen
The Sun	1549811820	Is Rachel Weisz married to Daniel Craig and do they have children?	The pair welcomed their first child together last year.	https://news.google.com/articles/CAIiEJWmAGKt39QRCUXEiHvzkG8qGQgEKhAIACoHCAow0Ij8CjCRwIgDMPGBzAU?hl=en-IN&gl=IN&ceid=IN%3Aen
The Washington Post	1549741070	Young girls’ trauma leads Sierra Leone to declare a national emergency over rape	Last year, a 28-year-old man in Sierra Leone was accused of raping a 5-year-old relative — paralyzing her from the waist down. He never faced punishment for ...	https://news.google.com/articles/CAIiENSwR5iq0S8Gj-K_bwP7jeIqGAgEKg8IACoHCAowjtSUCjC30XQwn6G5AQ?hl=en-IN&gl=IN&ceid=IN%3Aen
The Guardian	1549861200	'Spare innocent men anguish': India ruling aims to end false rape claims	Judges have moved to ensure that women driven by revenge and self-interest will no longer be able to make spurious allegations when relationships end.	https://news.google.com/articles/CAIiEGUMCxRUT_YMb5TNYXwgjtQqFggEKg4IACoGCAowl6p7MN-zCTDlkko?hl=en-IN&gl=IN&ceid=IN%3Aen
USA TODAY	1549882800	Jennifer Aniston is fierce at 50! Her best quotes on marriage, life and 'Friends'	Sizzling and single, Jennifer Aniston has taken the reins of her narrative at 50. Here are her spiciest quotes about love, life and 'Friends.'	https://news.google.com/articles/CAIiENjgxezR_D_Etr9Qx35qRHAqGQgEKhAIACoHCAowjsP7CjCSpPQCMKGi0wU?hl=en-IN&gl=IN&ceid=IN%3Aen
India Today	1532329200	Child marriage is a bane in India: A glance at several shocking facts	The issue of child marriage has always been an alarming one. Though it has minimised with the passage of time, but still, it exists on a large scale in the remote ...	https://news.google.com/articles/CBMiamh0dHBzOi8vd3d3LmluZGlhdG9kYXkuaW4vZWR1Y2F0aW9uLXRvZGF5L2drLWN1cnJlbnQtYWZmYWlycy9zdG9yeS9jaGlsZC1tYXJyaWFnZS1pbmRpYS0xMjkzNTgxLTIwMTgtMDctMjPSAbgBaHR0cHM6Ly93d3ctaW5kaWF0b2RheS1pbi5jZG4uYW1wcHJvamVjdC5vcmcvdi9zL3d3dy5pbmRpYXRvZGF5LmluL2FtcC9lZHVjYXRpb24tdG9kYXkvZ2stY3VycmVudC1hZmZhaXJzL3N0b3J5L2NoaWxkLW1hcnJpYWdlLWluZGlhLTEyOTM1ODEtMjAxOC0wNy0yMz9hbXBfanNfdj0wLjEjd2Vidmlldz0xJmNhcD1zd2lwZQ?hl=en-IN&gl=IN&ceid=IN%3Aen
Cincinnati.com	1549892460	Wedding bells in 2019? Consider the tax implications	My fiancée and I will be getting married later this year. Even though I am just completing my 2018 tax return, what do you recommend I keep in mind for my 2019 ...	https://news.google.com/articles/CBMiaGh0dHBzOi8vd3d3LmNpbmNpbm5hdGkuY29tL3N0b3J5L21vbmV5LzIwMTkvMDIvMTEvd2VkZGluZy1iZWxscy0yMDE5LWNvbnNpZGVyLXRheC1pbXBsaWNhdGlvLzI4MTY3MjgwMDIv0gF0aHR0cHM6Ly9hbXAtY2luY2lubmF0aS1jb20uY2RuLmFtcHByb2plY3Qub3JnL3Yvcy9hbXAuY2luY2lubmF0aS5jb20vYW1wLzI4MTY3MjgwMDI_YW1wX2pzX3Y9MC4xI3dlYnZpZXc9MSZjYXA9c3dpcGU?hl=en-IN&gl=IN&ceid=IN%3Aen
Forbes	1540796400	What You Need To Know About Child Marriage In The U.S.	Marrying before age 18 is harmful and should be banned with no exceptions. UNICEF is activating constituents in key states, spreading the word that child ...	https://news.google.com/articles/CAIiEFlf0ae9fX_0Sz3CumxUQ8QqFQgEKg0IACoGCAowrqkBMKBFMKGBAg?hl=en-IN&gl=IN&ceid=IN%3Aen
Times of India	1546243200	Child marriages, an urban problem too	CHENNAI: On a July weekend, Childline volunteers in Coimbatore received an anonymous phone call tipping them off that a minor girl was getting married.	https://news.google.com/articles/CAIiEDwli3uBdcxA98exoZ2JJW0qGQgEKhAIACoHCAowzrL9CjDC7vQCMKCT1wU?hl=en-IN&gl=IN&ceid=IN%3Aen
Economic Times	1539241200	'High schooling can prevent 50 million child marriages by 2030'	Making girls study up to high school can help prevent at least 50 million child marriages across the world by 2030, the Save the Children organisation has said.	https://news.google.com/articles/CAIiENlRczLq6YqUaWWTPy_I54AqGQgEKhAIACoHCAow2pqGCzD954MDMPTVigY?hl=en-IN&gl=IN&ceid=IN%3Aen
GlobeNewswire	1544428800	"First National Coalition to End ""Child Marriage"" in the United States Is Launched"	New York, NY, Dec. 10, 2018 (GLOBE NEWSWIRE) -- On International Human Rights Day, Unchained At Last and Equality Now are launching a National ...	https://news.google.com/articles/CBMikwFodHRwczovL2dsb2JlbmV3c3dpcmUuY29tL25ld3MtcmVsZWFzZS8yMDE4LzEyLzEwLzE2NjQ1MjAvMC9lbi9GaXJzdC1OYXRpb25hbC1Db2FsaXRpb24tdG8tRW5kLUNoaWxkLU1hcnJpYWdlLWluLXRoZS1Vbml0ZWQtU3RhdGVzLUlzLUxhdW5jaGVkLmh0bWzSAQA?hl=en-IN&gl=IN&ceid=IN%3Aen
Financial Times	1549651620	Tory MP blocks bill intended to protect girls against FGM	Britain's parliament has failed to pass a bill protecting girls at risk of female genital mutilation after objections from an MP. Conservative backbencher Christopher ...	https://news.google.com/articles/CAIiEPa53NwrHdF4vuXI5IPs7pcqFwgEKg8IACoHCAow-4fWBzD4z0gwwtp6?hl=en-IN&gl=IN&ceid=IN%3Aen
Irish Examiner	1544860800	Leave us kids alone: A look at child marriage in the US and beyond	While the global trend in forced marriage and child brides has seen numbers fall in recent years, the picture emerging from America is more disturbing, writes ...	https://news.google.com/articles/CBMihwFodHRwczovL3d3dy5pcmlzaGV4YW1pbmVyLmNvbS9icmVha2luZ25ld3Mvc3BlY2lhbHJlcG9ydHMvbGVhdmUtdXMta2lkcy1hbG9uZS1hLWxvb2stYXQtY2hpbGQtbWFycmlhZ2UtaW4tdGhlLXVzLWFuZC1iZXlvbmQtODkyMjExLmh0bWzSAdUBaHR0cHM6Ly9hbXAtaXJpc2hleGFtaW5lci1jb20uY2RuLmFtcHByb2plY3Qub3JnL3Yvcy9hbXAuaXJpc2hleGFtaW5lci5jb20vYnJlYWtpbmduZXdzL3NwZWNpYWxyZXBvcnRzL2xlYXZlLXVzLWtpZHMtYWxvbmUtYS1sb29rLWF0LWNoaWxkLW1hcnJpYWdlLWluLXRoZS11cy1hbmQtYmV5b25kLTg5MjIxMS5odG1sP2FtcF9qc192PTAuMSN3ZWJ2aWV3PTEmY2FwPXN3aXBl?hl=en-IN&gl=IN&ceid=IN%3Aen
