source	time	heading	story	url
Variety	1549776000	SF Studios Preps English-Language Sci-Fi Series on Artificial Intelligence (EXCLUSIVE)	"SF Studios is developing an English-language series based on Max Tegmark's ""Life 3.0: Being Human in the Age of Artificial Intelligence."""	https://news.google.com/articles/CAIiEDmwIKUoAkcYHku1MsyolaAqFwgEKg8IACoHCAowraj2AjC5-iIwzItb?hl=en-IN&gl=IN&ceid=IN%3Aen
Forbes	1548998820	How Artificial Intelligence Is Used To Make Beer	There are many ways artificial intelligence (AI) and machine learning can make our world more productive and effective. There are even breweries that are using ...	https://news.google.com/articles/CAIiEIpoHEkGVlAKCKhCAkz5Z5YqFQgEKg0IACoGCAowrqkBMKBFMMGBAg?hl=en-IN&gl=IN&ceid=IN%3Aen
Science Daily	1547712000	Measuring ability of artificial intelligence to learn is difficult	Organizations looking to benefit from the artificial intelligence (AI) revolution should be cautious about putting all their eggs in one basket, a study has found.	https://news.google.com/articles/CBMiPmh0dHBzOi8vd3d3LnNjaWVuY2VkYWlseS5jb20vcmVsZWFzZXMvMjAxOS8wMS8xOTAxMTcwOTI2MDQuaHRt0gEA?hl=en-IN&gl=IN&ceid=IN%3Aen
Science News	1549364405	Artificial intelligence is learning to take your words less literally	Artificial intelligence is learning how to take things not so literally.	https://news.google.com/articles/CBMiVmh0dHBzOi8vd3d3LnNjaWVuY2VuZXdzLm9yZy9hcnRpY2xlL2FydGlmaWNpYWwtaW50ZWxsaWdlbmNlLWxlYXJuaW5nLW5vdC1iZS1zby1saXRlcmFs0gEA?hl=en-IN&gl=IN&ceid=IN%3Aen
TIME	1549540910	Artificial Intelligence Has a Problem With Gender and Racial Bias. Here’s How to Solve It	Machines can discriminate in harmful ways. I experienced this firsthand, when I was a graduate student at MIT in 2015 and discovered that some facial analysis ...	https://news.google.com/articles/CBMiQ2h0dHA6Ly90aW1lLmNvbS81NTIwNTU4L2FydGlmaWNpYWwtaW50ZWxsaWdlbmNlLXJhY2lhbC1nZW5kZXItYmlhcy_SAZUBaHR0cHM6Ly9hbXAtdGltZWluYy1uZXQuY2RuLmFtcHByb2plY3Qub3JnL3YvYW1wLnRpbWVpbmMubmV0L3RpbWUvNTUyMDU1OC9hcnRpZmljaWFsLWludGVsbGlnZW5jZS1yYWNpYWwtZ2VuZGVyLWJpYXM_YW1wX2pzX3Y9MC4xI3dlYnZpZXc9MSZjYXA9c3dpcGU?hl=en-IN&gl=IN&ceid=IN%3Aen
Forbes	1547452800	The Weaponization Of Artificial Intelligence	Introduction. Technological development has become a rat race. In the competition to lead the emerging technology race and the futuristic warfare battleground, ...	https://news.google.com/articles/CAIiEGqkzmjfuc-tvoc2PU43QkEqFQgEKg0IACoGCAowrqkBMKBFMI_CEg?hl=en-IN&gl=IN&ceid=IN%3Aen
Forbes	1548748800	Artificial Intelligence Has A Problem With Bias, Here's How To Tackle It	Artificial intelligence (AI) is facing a problem: Bias. As more and more decisions are being made by AIs, this is an issue that is important to us all. In this article we ...	https://news.google.com/articles/CAIiEKwayhDz3OBXdQZv6NlFLBQqFQgEKg0IACoGCAowrqkBMKBFMMGBAg?hl=en-IN&gl=IN&ceid=IN%3Aen
Forbes	1547971200	Can Artificial Intelligence Be Biased?	The battle for decision-making authority is emerging between man and machines. As we witness the rise of algorithms in decision-making, what will be the ...	https://news.google.com/articles/CAIiEHAbG4I38kvtQlJLP67yvVsqFQgEKg0IACoGCAowrqkBMKBFMI_CEg?hl=en-IN&gl=IN&ceid=IN%3Aen
telegraphherald.com	1549780200	McCormick will use IBM artificial intelligence to develop flavors, products	McCormick & Co. Inc. plans to use artificial intelligence to create new flavors and products through a research collaboration with IBM, the spice maker said ...	https://news.google.com/articles/CBMiXmh0dHA6Ly93d3cudGVsZWdyYXBoaGVyYWxkLmNvbS9uZXdzL2J1c2luZXNzL2FydGljbGVfOGUwMWE1MTctMWM2OS01YTNlLTk3ZmItMDk5NGJjOGIyYWM5Lmh0bWzSAQA?hl=en-IN&gl=IN&ceid=IN%3Aen
Analytics India Magazine	1548144000	What Makes India An Artificial Intelligence Specialist?	To no one's surprise, a recent survey announced that India is the 13th most advanced country the world in terms of the development of artificial intelligence ...	https://news.google.com/articles/CAIiEN-HwfyLiOxUMgQi7vx8fDUqGQgEKhAIACoHCAowiv6GCzDhmIUDMKKElgY?hl=en-IN&gl=IN&ceid=IN%3Aen
